requirement,endpoint,http_status,supported,evidence_type,limitation,source
ohlcv_five_minute_history,GET /v2/stocks/{symbol}/bars,200,True,live_evidence,,probe bars requests
regular_session_history,GET /v2/stocks/{symbol}/bars,200,True,live_evidence,Requires bar-start timestamps and complete regular-session coverage.,probe bars requests
timestamp_convention,GET /v2/stocks/{symbol}/bars,200,True,live_evidence,Classified from returned timestamps; documentation not audited.,probe bars requests
adjustment_raw,GET /v2/stocks/{symbol}/bars,200,False,documented_capability,Parameter was sent; actual adjustment basis not independently verified.,probe request parameters
consolidated_volume_provenance,GET /v2/stocks/{symbol}/bars?feed=sip|iex,200,False,live_evidence,Paired SIP/IEX volume differs; explicit consolidated/venue disclosure not captured.,probe feed comparison
venue_volume_iex_historical,GET /v2/stocks/{symbol}/bars?feed=iex,200,True,live_evidence,IEX is a diagnostic comparison feed only.,probe bars requests
point_in_time_universe,GET /v2/assets,200,False,live_evidence,Active snapshot is not a historical point-in-time universe.,active_assets_count=14202
monthly_pit_reproducibility,GET /v2/assets,200,False,unproven,No historical PIT membership endpoint was exercised.,
current_active_asset_master,GET /v2/assets?status=active,200,True,live_evidence,Current listing only.,active_assets_count=14202
current_inactive_asset_master,GET /v2/assets?status=inactive,200,True,live_evidence,"Inactive listing is current, not historical PIT.",inactive_assets_count=19202
delisted_symbol_handling,GET /v2/stocks/{symbol}/bars,0,False,unproven,asof parameter maps symbol at asof date; does not reconstruct historical security master.,
symbol_mapping_asof,GET /v2/stocks/{symbol}/bars,200,True,documented_capability,"asof is a query parameter, not a historical security master.",asof=2025-12-31
security_type_stock_etf,GET /v2/assets,200,False,unproven,asset_class=us_equity does not distinguish stocks from ETFs.,
security_type_warrant_right_unit_preferred,GET /v2/assets,200,False,unproven,asset_class=us_equity does not expose warrant/right/unit/preferred classification.,
historical_security_type,GET /v2/assets,200,False,unproven,Assets API returns current classification only.,
corporate_action_endpoint_reachable,GET /v1/corporate-actions,200,True,live_evidence,Reachability does not imply historical completeness.,corporate_actions_response_type=dict
corporate_action_historical_completeness,GET /v1/corporate-actions,200,False,unproven,Coverage and timeliness not audited in this probe.,
no_provider_mixing,probe audit,0,True,live_evidence,Only Alpaca endpoints were called.,probe request log
manifest_feasibility,probe audit,0,False,unproven,Single-provider contract not satisfied; data-source mixing decision required.,
